76	297	279	270	291	326	400	335	346	298	320	360	372	383	471	580	676	638	763	920	1075	1209	1199	1188	1178	1167	1157	1150	1144	1137	1131	1124	1113	1102	1092	1081	1070	1087	1105	1122	1140	1157	1157	1158	1158	1159	1159	1172	1186	1199	1232	1265	1168	1193	1206	1174	1176	1166	1189	1242	1286	1261
77	850	850	850	850	850	850	856	894	968	1055	1127	1257	1480	1898	2814	3200	3768	4254	4479	5367	6040	6268	6496	6725	6953	7181	6824	6468	6111	5755	5398	4647	3896	3145	2394	1643	1780	1918	2055	2193	2330	2567	2805	3042	3280	3517	3847	4176	4506	4581	4656	5044	5423	5663	5986	6216	6393	6702	7029	7392	6888
78	2538	2651	2829	3009	3248	3486	3784	4021	4316	4680	4774	5484	6547	8673	9692	10719	11408	13205	16301	19397	20861	21188	21515	21843	22170	22497	23196	23895	24593	25292	25991	26338	26684	27031	27377	27724	28229	28733	29238	29742	30247	30415	30583	30752	30920	31088	31952	32815	33679	33440	33201	34465	35253	34683	35797	36269	36780	37625	37880	38201	36709
79	440	456	470	508	555	642	649	519	489	564	622	665	566	638	729	691	667	756	854	920	993	959	925	892	858	824	841	857	874	890	907	920	934	947	961	974	993	1011	1030	1048	1067	1095	1123	1152	1180	1208	1265	1323	1380	1428	1475	1636	1739	1817	1841	1864	1882	1990	2069	2158	2125
81	1519	1724	1801	2029	2287	2625	2911	3106	3369	3864	4322	4778	5493	7238	8180	9118	9828	11238	13576	16501	17043	16965	16888	16810	16733	16655	16788	16921	17053	17186	17319	17364	17409	17453	17498	17543	18072	18601	19130	19659	20188	20986	21783	22581	23378	24176	24780	25383	25987	25051	24114	21982	20519	20037	20331	20442	20427	20691	21079	21498	19537
82	2086	2277	2502	2779	3066	3317	3589	3874	4129	4531	3285	4114	4816	6271	7526	9335	10621	12527	15863	18593	20790	21395	22000	22604	23209	23814	24140	24465	24791	25116	25442	25964	26487	27009	27532	28054	28774	29494	30213	30933	31653	31961	32269	32577	32885	33193	33457	33720	33984	33224	32464	31613	31600	31576	32002	32438	33913	33939	34241	35084	35061
86	868	871	901	968	969	967	983	1000	1079	1119	1209	1226	1264	1504	1802	2025	2364	2897	3132	3477	3873	3746	3619	3491	3364	3237	3256	3275	3294	3313	3332	3398	3463	3529	3594	3660	3720	3780	3840	3900	3960	3980	4001	4021	4042	4062	4163	4264	4365	4329	4292	4356	4372	4421	4492	4566	4611	4676	4759	4874	4714
87	326	326	326	326	326	326	328	343	371	405	432	482	568	728	1080	1228	1445	1632	1718	2059	2798	2697	3250	4022	4773	5756	738	765	869	856	856	917	811	803	793	795	813	832	850	869	887	904	921	937	954	971	982	994	1005	992	978	984	991	983	957	929	1003	1078	1118	1151	1178
88	641	603	584	628	704	865	928	918	937	1016	891	873	952	942	1007	1072	1064	1045	1073	1000	905	946	986	1027	1067	1108	1128	1148	1168	1188	1208	1221	1235	1248	1262	1275	1249	1223	1198	1172	1146	1120	1094	1069	1043	1017	1025	1033	1041	1053	1064	1132	1082	1062	1059	1081	1120	1158	1145	1169	1115
89	806	856	874	767	828	883	922	982	879	933	985	1025	1028	1100	1547	1752	1596	1565	1747	1816	2059	1987	1915	1843	1771	1699	1672	1645	1618	1591	1564	1690	1816	1942	2068	2194	2254	2313	2373	2432	2492	2501	2510	2518	2527	2536	2654	2772	2890	2985	3080	3224	3354	3504	3610	3688	3808	3929	3987	4131	5939
90	204	197	199	204	223	237	240	230	229	238	244	271	284	334	403	409	489	539	535	586	749	735	726	779	848	917	998	943	954	1052	1174	1205	1184	1131	1002	1102	1109	1116	1123	1130	1137	1114	1091	1069	1046	1023	1031	1039	1047	1022	996	1032	1045	1072	1087	1090	1094	1106	1109	1075	1026
91	669	687	724	741	799	863	907	960	1012	1018	1072	1055	1127	1244	1370	1444	1680	2016	2258	2553	2820	2783	2746	2710	2673	2636	2640	2645	2649	2654	2658	2681	2704	2728	2751	2774	2797	2820	2842	2865	2888	2966	3044	3121	3199	3277	3398	3520	3641	3580	3519	3585	3665	3700	3748	3817	3896	4014	4098	4137	3706
93	2075	2062	2075	2062	2244	2353	2529	2558	2505	2773	2943	3194	3736	4607	5033	5706	6577	7313	8522	9817	11360	11604	11847	12091	12334	12578	12686	12794	12901	13009	13117	12831	12545	12260	11974	11688	12085	12482	12880	13277	13674	14334	14994	15655	16315	16975	17293	17612	17930	17458	16986	17362	17186	17587	18312	18922	19396	20278	21392	22443	21471
94	2110	2121	2341	2748	3417	4036	4773	4667	3529	3054	3803	4792	5918	8021	10380	9506	11178	14653	16517	18597	21845	22105	22365	22624	22884	23144	23642	24140	24637	25135	25633	25454	25276	25097	24919	24740	25765	26791	27816	28842	29867	30871	31875	32880	33884	34888	35743	36597	37452	35007	32562	33217	33547	34656	35003	36114	37861	38535	39351	39212	35797
